n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
13,100,10,0.2,0.3,0.058201551,10007.07684
97,100,10,0.9,0.9,0.196033001,3537.84794
11,100,10,0.2,0.2,0.031592607,0.899995089
93,100,10,0.7,0.8,0.881710529,10006.46057
99,100,10,0.7,0.7,0.238420486,1201.619186
96,100,10,0.9,0.9,0.227741957,10004.17387
98,100,10,1,1,0.2535007,5329.844785
14,100,10,0.2,0.1,0.122295618,10005.77115
17,100,10,0,0.1,0.125088215,10005.6888
94,100,10,0.8,0.8,0.57825613,10003.20529
15,100,10,0.2,0.1,0.059445143,10002.40038
91,100,10,0.8,0.8,0.208821535,9511.326785
95,100,10,0.6,0.8,0.24780941,10001.5531
12,100,10,0.3,0.3,0.033726931,159.6360569
18,100,10,0.4,0.2,0.039675236,10002.48872
19,100,10,0.1,0.4,0.05060935,10002.48665
16,100,10,0,0.1,0.051833868,10002.43559
92,100,10,0.9,0.9,0.168444395,10002.53935
13,100,10,0.3,0.1,0.035598755,10002.60799
97,100,10,0.8,0.8,0.287908792,927.6381013
11,100,10,0.1,0.1,0.029333353,0.372320414
93,100,10,0.9,0.9,0.220094919,6451.806151
99,100,10,0.8,0.8,0.328853846,1324.560468
96,100,10,0.8,0.8,0.18392849,5123.800743
