,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
347,100,100,7,0.7142857142857143,0.7142857142857143,0.2271571159362793,330.0841293334961
348,100,100,27,0.7407407407407407,0.7407407407407407,0.8340260982513428,3602.3772265911102
349,50,50,14,0.5714285714285714,0.6428571428571429,0.09921574592590332,174.51257419586182
350,50,50,25,0.6,0.64,0.15021991729736328,232.52340579032898
351,100,100,67,0.7014925373134329,0.7164179104477612,4.511157512664795,3602.373249769211
352,100,100,22,0.6818181818181818,0.7727272727272727,0.5278546810150146,3602.4944367408752
353,100,100,79,0.8227848101265823,0.759493670886076,9.176341772079468,3249.699305295944
354,50,50,9,0.6666666666666666,0.6666666666666666,0.056023359298706055,34.7796790599823
355,100,100,63,0.6984126984126984,0.6190476190476191,3.495112895965576,3602.2527706623077
356,100,100,74,0.7702702702702703,0.7432432432432432,4.250044345855713,3601.391405105591
357,100,100,18,0.8888888888888888,0.8888888888888888,0.39206528663635254,3602.3759305477142
358,100,100,38,0.7368421052631579,0.6842105263157895,1.5176315307617188,3602.367908477783
359,100,100,29,0.6896551724137931,0.6551724137931034,0.7640960216522217,3602.1910450458527
360,50,50,16,0.625,0.6875,0.07944941520690918,888.4765434265137
361,50,50,36,0.7777777777777778,0.7222222222222222,0.4468677043914795,23.841557264328003
362,50,50,31,0.6129032258064516,0.5806451612903226,0.2917795181274414,25.90120220184326
363,100,100,45,0.6666666666666666,0.6888888888888889,1.7313282489776611,3602.369993209839
364,50,50,6,0.8333333333333334,0.8333333333333334,0.046776533126831055,4.1618993282318115
365,100,100,85,0.8352941176470589,0.8941176470588236,6.954059600830078,146.453058719635
366,100,100,96,0.9583333333333334,0.9583333333333334,10.97013807296753,5.968102693557739
367,50,50,46,0.9130434782608695,0.9130434782608695,1.132171869277954,1.6556572914123535
368,100,100,40,0.65,0.7,1.3045294284820557,3602.359498977661
369,100,100,60,0.6,0.6333333333333333,3.652658462524414,3602.3589475154877
370,50,50,1,1.0,1.0,0.017298460006713867,0.11485600471496582
371,100,100,15,0.6666666666666666,0.6666666666666666,0.40792012214660645,3602.519419193268
372,50,50,2,1.0,1.0,0.017827272415161133,0.2015540599822998
373,100,100,55,0.6363636363636364,0.6727272727272727,2.845947027206421,3602.346466779709
374,50,50,42,0.8095238095238095,0.8571428571428571,0.9354403018951416,2.062880754470825
375,100,100,10,0.9,0.9,0.1534595489501953,975.659038066864
376,50,50,17,0.5882352941176471,0.5882352941176471,0.11836028099060059,431.1017470359802
377,100,100,62,0.7096774193548387,0.6290322580645161,3.8433001041412354,3602.369770526886
378,50,50,49,0.9795918367346939,0.9795918367346939,0.20306754112243652,0.15390300750732422
379,50,50,4,0.75,0.75,0.029635906219482422,0.5917565822601318
380,50,50,24,0.625,0.7083333333333334,0.17923569679260254,726.5948212146759
381,100,100,77,0.8181818181818182,0.7792207792207793,7.103930234909058,3601.681557893753
382,100,100,21,0.7619047619047619,0.7142857142857143,0.5656654834747314,3602.3982043266296
383,100,100,32,0.59375,0.53125,1.1106290817260742,3602.402564048767
384,50,50,19,0.7368421052631579,0.7368421052631579,0.14275527000427246,289.5518455505371
385,50,50,39,0.7948717948717948,0.7948717948717948,0.39505720138549805,6.609682559967041
386,100,100,73,0.7671232876712328,0.7397260273972602,4.754927635192871,3601.5564970970154
387,50,50,34,0.7352941176470589,0.6764705882352942,0.387373685836792,41.64891982078552
388,100,100,28,0.6428571428571429,0.6428571428571429,0.8064548969268799,3602.4044318199158
389,100,100,68,0.7352941176470589,0.6764705882352942,4.031573057174683,3601.6272349357605
390,100,100,88,0.875,0.8863636363636364,8.434688806533813,30.946787357330322
391,100,100,23,0.782608695652174,0.782608695652174,0.5368309020996094,3602.319986104965
392,100,100,43,0.6744186046511628,0.6976744186046512,2.1521263122558594,3602.4215993881226
393,50,50,30,0.6,0.6,0.34185051918029785,78.8458080291748
394,50,50,41,0.8292682926829268,0.8048780487804879,0.4051029682159424,2.345595359802246
395,100,100,75,0.7733333333333333,0.7733333333333333,9.94133973121643,2359.9096400737762
396,100,100,95,0.9473684210526315,0.9473684210526315,8.522145986557007,6.15599250793457
397,100,100,13,0.6923076923076923,0.6923076923076923,0.26563549041748047,3602.49192070961
398,100,100,50,0.74,0.56,1.8605482578277588,3602.3686611652374
399,50,50,37,0.8378378378378378,0.7297297297297297,0.36449313163757324,13.77839708328247
400,100,100,25,0.56,0.56,0.7099740505218506,3602.4553792476654
401,100,100,90,0.9,0.9,12.344210147857666,27.37718439102173
402,100,100,65,0.6461538461538462,0.676923076923077,3.2707712650299072,3602.2163701057434
403,100,100,9,0.8888888888888888,0.8888888888888888,0.23787260055541992,460.7901110649109
404,100,100,20,0.8,0.8,0.577221155166626,3602.463871240616
405,50,50,7,0.8571428571428571,0.8571428571428571,0.03985786437988281,6.95628547668457
406,50,50,47,0.9361702127659575,0.9361702127659575,0.5275182723999023,1.3462419509887695
407,100,100,61,0.6229508196721312,0.6885245901639344,4.8867714405059814,3602.2502768039703
408,50,50,22,0.5,0.45454545454545453,0.17924261093139648,527.474748134613
409,100,100,16,0.875,0.8125,0.3629734516143799,3602.393395423889
410,100,100,56,0.6785714285714286,0.6607142857142857,2.910254955291748,3602.3993339538574
411,100,100,76,0.7894736842105263,0.7368421052631579,7.278140306472778,2073.7753298282623
412,100,100,11,0.9090909090909091,0.9090909090909091,0.22307491302490234,3601.2452363967896
413,100,100,31,0.6774193548387096,0.6774193548387096,0.9987919330596924,3602.3203797340393
414,50,50,18,0.6666666666666666,0.6111111111111112,0.11863350868225098,918.5076036453247
415,50,50,29,0.6206896551724138,0.6551724137931034,0.23688006401062012,264.7647931575775
416,100,100,71,0.7183098591549296,0.7464788732394366,6.014648199081421,3602.1041238307953
417,100,100,26,0.7307692307692307,0.7692307692307693,0.7180755138397217,3602.510185956955
418,100,100,46,0.5652173913043478,0.5,2.368539333343506,3602.340441942215
419,100,100,83,0.8433734939759037,0.8433734939759037,11.982062101364136,345.1887001991272
420,100,100,1,1.0,1.0,0.08022761344909668,0.41243934631347656
421,100,100,78,0.7948717948717948,0.782051282051282,6.570802927017212,425.82500767707825
422,100,100,98,0.9795918367346939,0.9795918367346939,8.249393463134766,7.535834550857544
423,100,100,33,0.6363636363636364,0.6363636363636364,0.683394193649292,3602.3129482269287
424,100,100,53,0.7169811320754716,0.5660377358490566,2.256063461303711,3602.3684828281403
425,50,50,40,0.825,0.8,0.637775182723999,7.7297234535217285
426,100,100,8,1.0,1.0,0.15854406356811523,273.68989539146423
427,100,100,93,0.946236559139785,0.9247311827956989,7.093138217926025,9.0023193359375
428,100,100,48,0.5416666666666666,0.5625,2.3017256259918213,3602.2863340377808
429,50,50,35,0.6571428571428571,0.6857142857142857,0.4215238094329834,49.89319658279419
430,100,100,3,1.0,1.0,0.12235569953918457,0.9528729915618896
431,50,50,10,0.8,0.7,0.05646681785583496,34.519256830215454
432,100,100,4,1.0,1.0,0.13614296913146973,2.3265655040740967
