,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,Lasso_accuracy,Lasso_best_lambda,Lasso_time
1830,950,11830,1.0,0.6070520877838135,0.4,1.7322337627410889,1.0,0.000774263682681127,11.541579484939575,0.98,0.048195838928222656,1.0,75000.0,6.694695949554443
1831,950,11831,1.0,0.4373440742492676,0.46,1.989820957183838,1.0,0.000774263682681127,5.784795522689819,1.0,0.02187037467956543,1.0,100000.0,2.3863332271575928
1832,950,11832,1.0,0.47505807876586914,0.42,1.4746854305267334,1.0,0.000774263682681127,9.501121997833252,1.0,0.024732112884521484,1.0,100000.0,3.402791976928711
1833,950,11833,1.0,1.5411255359649658,0.48,4.781177997589111,1.0,0.000774263682681127,22.62988829612732,0.98,0.31087684631347656,1.0,100000.0,8.738205194473267
1834,950,11834,1.0,2.2122912406921387,0.44,7.9844794273376465,1.0,0.000774263682681127,20.97416114807129,0.98,0.11915326118469238,1.0,100000.0,11.63933539390564
1835,950,11835,1.0,1.360203504562378,0.42,3.438218593597412,1.0,0.000774263682681127,20.76607084274292,1.0,0.04158449172973633,1.0,100000.0,8.036012411117554
1836,950,11836,1.0,1.785109281539917,0.52,5.07904052734375,1.0,0.000774263682681127,15.6272714138031,0.98,0.05730843544006348,1.0,100000.0,9.784043073654175
1837,950,11837,1.0,4.476677894592285,0.46,1.4699599742889404,1.0,0.000774263682681127,22.831578254699707,0.96,0.020041227340698242,1.0,89648.4375,18.139840841293335
1838,950,11838,1.0,2.0810792446136475,0.5,3.1992814540863037,1.0,0.000774263682681127,19.35858392715454,0.96,0.08189725875854492,0.96,106250.0,18.693954944610596
1839,950,11839,1.0,0.6155283451080322,0.5,3.3642354011535645,1.0,0.000774263682681127,14.420268774032593,1.0,0.025057554244995117,0.98,112500.0,11.749524354934692
1840,950,11840,1.0,2.09346866607666,0.52,1.3252747058868408,1.0,0.000774263682681127,10.76060700416565,0.98,0.03234124183654785,0.98,93750.0,10.038742303848267
1841,950,11841,1.0,0.706756591796875,0.48,1.049635887145996,1.0,0.000774263682681127,14.651194095611572,0.98,0.08737349510192871,0.98,112500.0,11.169768810272217
1842,950,11842,1.0,0.7030465602874756,0.44,1.1461341381072998,1.0,0.000774263682681127,11.272648572921753,1.0,0.07236766815185547,1.0,100000.0,2.520081043243408
1843,950,11843,1.0,0.86855149269104,0.46,0.9404828548431396,1.0,0.000774263682681127,12.203632593154907,0.96,0.01877617835998535,0.98,96679.6875,10.306809425354004
1844,950,11844,1.0,0.477191686630249,0.46,1.6351847648620605,1.0,0.000774263682681127,8.637585401535034,1.0,0.02048468589782715,0.98,104736.328125,9.3192298412323
1845,950,11845,1.0,0.8063361644744873,0.38,2.0472323894500732,1.0,0.000774263682681127,10.841558933258057,1.0,0.04853987693786621,1.0,84375.0,5.612736940383911
1846,950,11846,1.0,1.4015529155731201,0.6,6.715478897094727,1.0,0.000774263682681127,26.31391143798828,0.96,0.06092405319213867,0.98,104133.65364074707,34.06266689300537
1847,950,11847,1.0,0.9909794330596924,0.46,6.694859981536865,1.0,0.000774263682681127,26.19166374206543,1.0,0.09818601608276367,0.98,140625.0,17.637349605560303
1848,950,11848,1.0,2.8972442150115967,0.36,1.086940050125122,1.0,0.000774263682681127,30.614702701568604,0.98,0.3778505325317383,1.0,100000.0,3.5774614810943604
1849,950,11849,1.0,2.4159669876098633,0.54,0.9983322620391846,1.0,0.000774263682681127,19.322147846221924,1.0,0.025232553482055664,0.98,125000.0,12.842027425765991
1850,950,11850,1.0,1.8952929973602295,0.5,0.991309404373169,1.0,0.000774263682681127,23.340492725372314,0.98,0.09270620346069336,0.98,100000.0,8.179543018341064
1851,950,11851,1.0,2.8340961933135986,0.52,5.152480363845825,1.0,0.000774263682681127,22.794828414916992,0.98,0.024375438690185547,0.98,100000.0,7.607321500778198
1852,950,11852,1.0,3.000159978866577,0.44,1.7643938064575195,1.0,0.000774263682681127,15.512902975082397,0.98,0.08365821838378906,1.0,93750.0,11.802145957946777
1853,950,11853,1.0,1.2863821983337402,0.48,4.416694402694702,1.0,0.000774263682681127,15.604497909545898,1.0,0.07808518409729004,1.0,100000.0,5.955674886703491
1854,950,11854,1.0,1.9837684631347656,0.4,1.3540685176849365,1.0,0.000774263682681127,13.004490613937378,0.96,0.10292482376098633,1.0,75000.0,11.429872751235962
1855,950,11855,1.0,1.1007556915283203,0.5,2.1197893619537354,1.0,0.000774263682681127,11.238165855407715,1.0,0.04494357109069824,0.98,125000.0,8.821889877319336
1856,950,11856,1.0,1.722508192062378,0.4,1.9998078346252441,1.0,0.000774263682681127,10.847681760787964,0.98,0.08241915702819824,0.98,100000.0,6.8431291580200195
