,model,n,p,k,seed,method,time,accuracy
357,linear,800,500,50,71,IHT_jit,0.34345392300747335,1.0
358,linear,800,500,50,71,HTP_jit,0.3983884749468416,1.0
359,linear,800,500,50,71,CVXPY,0.25570408604107797,0.96
360,linear,800,500,50,72,SCOPE_jit,1.0029081660322845,1.0
361,linear,800,500,50,72,GraSP_jit,0.7001016950234771,1.0
362,linear,800,500,50,72,IHT_jit,0.4212103830650449,1.0
363,linear,800,500,50,72,HTP_jit,0.38333881297148764,1.0
364,linear,800,500,50,72,CVXPY,1.2531166130211204,0.92
365,linear,800,500,50,73,SCOPE_jit,0.7986852950416505,1.0
366,linear,800,500,50,73,GraSP_jit,0.49078839900903404,1.0
367,linear,800,500,50,73,IHT_jit,0.37010786891914904,1.0
368,linear,800,500,50,73,HTP_jit,0.29619306698441505,1.0
369,linear,800,500,50,73,CVXPY,0.23463117005303502,1.0
370,linear,800,500,50,74,SCOPE_jit,1.1188665931113064,1.0
371,linear,800,500,50,74,GraSP_jit,0.6909984869416803,1.0
372,linear,800,500,50,74,IHT_jit,0.4597881380468607,1.0
373,linear,800,500,50,74,HTP_jit,0.4796229258645326,1.0
374,linear,800,500,50,74,CVXPY,0.20305305602960289,0.96
375,linear,800,500,50,75,SCOPE_jit,0.4755234809126705,1.0
376,linear,800,500,50,75,GraSP_jit,0.33588998299092054,1.0
377,linear,800,500,50,75,IHT_jit,0.5253472640179098,1.0
378,linear,800,500,50,75,HTP_jit,0.31992792105302215,1.0
379,linear,800,500,50,75,CVXPY,0.3201878941617906,0.98
380,linear,800,500,50,76,SCOPE_jit,1.3384850479196757,1.0
381,linear,800,500,50,76,GraSP_jit,0.5661469569895416,1.0
382,linear,800,500,50,76,IHT_jit,0.314012851100415,1.0
383,linear,800,500,50,76,HTP_jit,0.3825695449486375,1.0
384,linear,800,500,50,76,CVXPY,0.8973653751891106,0.98
385,linear,800,500,50,77,SCOPE_jit,0.7528387780766934,1.0
386,linear,800,500,50,77,GraSP_jit,0.4093636400066316,1.0
387,linear,800,500,50,77,IHT_jit,0.2638199620414525,1.0
388,linear,800,500,50,77,HTP_jit,0.35021777800284326,1.0
389,linear,800,500,50,77,CVXPY,0.18964763404801488,0.96
390,linear,800,500,50,78,SCOPE_jit,0.7283902179915458,1.0
391,linear,800,500,50,78,GraSP_jit,0.3926303000189364,1.0
392,linear,800,500,50,78,IHT_jit,0.3643080089241266,1.0
393,linear,800,500,50,78,HTP_jit,0.5355382650159299,1.0
394,linear,800,500,50,78,CVXPY,0.17563485214486718,0.9
395,linear,800,500,50,79,SCOPE_jit,1.1928662229329348,1.0
396,linear,800,500,50,79,GraSP_jit,0.7142605120316148,1.0
397,linear,800,500,50,79,IHT_jit,0.30294462805613875,1.0
398,linear,800,500,50,79,HTP_jit,0.22867056680843234,1.0
399,linear,800,500,50,79,CVXPY,0.23052543494850397,0.92
400,linear,900,500,50,80,SCOPE_jit,0.8359504870604724,1.0
401,linear,900,500,50,80,GraSP_jit,0.5971254240721464,1.0
402,linear,900,500,50,80,IHT_jit,0.39212838211096823,1.0
403,linear,900,500,50,80,HTP_jit,0.308250340167433,1.0
404,linear,900,500,50,80,CVXPY,0.35124793695285916,0.98
405,linear,900,500,50,81,SCOPE_jit,1.014985451940447,1.0
406,linear,900,500,50,81,GraSP_jit,0.4737918470054865,1.0
407,linear,900,500,50,81,IHT_jit,0.5623876380268484,1.0
408,linear,900,500,50,81,HTP_jit,0.41769557213410735,1.0
409,linear,900,500,50,81,CVXPY,0.303596603916958,1.0
410,linear,900,500,50,82,SCOPE_jit,0.8474358629900962,1.0
411,linear,900,500,50,82,GraSP_jit,0.45515070389956236,1.0
412,linear,900,500,50,82,IHT_jit,0.44410683983005583,1.0
413,linear,900,500,50,82,HTP_jit,0.8316484559327364,1.0
414,linear,900,500,50,82,CVXPY,1.8980034401174635,0.98
415,linear,900,500,50,83,SCOPE_jit,0.6120267910882831,1.0
